k,coherence
8,-28.566638218467567
9,-29.762389942497048
10,-27.42175621728045
11,-29.123785663341092
12,-28.28607663163221
13,-28.71210418018953
14,-30.43710852447119
15,-32.389830006139114
16,-31.97598085490836
17,-30.752583189058562
18,-33.931808241368365
19,-31.577045090862857
20,-34.24600058890944
21,-35.62827771715447
22,-33.54754694105415
23,-37.5436289701943
24,-36.463871069861845
