topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,id,year,speaker
0.009894398193568245,0.26011130587065046,0.3049665111101943,0.00011352867106499242,0.00011353964152511414,0.03734037336362666,0.3871197197690087,0.00011354215239766097,0.00011354081491062468,0.00011354041305309299,594,1995,Alan Blinder
0.11062684407135912,0.1752105512309402,0.3848910081201877,0.08805005212149156,0.1928173247974266,0.00745097080752614,0.040666090120252504,9.571839834431037e-05,9.571818566947377e-05,9.57221468022351e-05,595,1995,Alan Blinder
0.00010837656133252051,0.2513954431505942,0.2917448868689926,0.00010836241078428752,0.00010836857330850354,0.045055176415732166,0.3970948969857251,0.014167741582390378,0.00010837339727965831,0.00010837405386065685,600,1995,Alan Blinder
7.658496330007999e-05,0.13324023168561444,0.016705396502423836,7.659115031219277e-05,0.14865349475205364,0.6681365660073688,7.659060979360237e-05,7.659110923245996e-05,0.027385028850741164,0.00557292436915987,601,1995,Alan Blinder
0.00013247567181799865,0.00013247967618743663,0.06745810124670963,0.00013248391412417802,0.09549462823363268,0.5883373008979512,0.00013248866544866215,0.1646833001726221,0.08336425367727934,0.00013248784422663408,2956,1995,Alan Greenspan
0.026873753860794665,0.00013092072834311507,0.6371166348641981,0.00013092462315014196,0.00013093114735598384,0.07276808258085787,0.2387462566134736,0.00013093228582988992,0.00013092808969239963,0.023840635206304354,2957,1995,Alan Greenspan
0.09723002777119948,0.021733853848055977,0.07686652891341486,0.0671065835130092,0.12081661769032796,0.02944981866497155,0.5684403142987074,9.235799475757853e-05,0.018171533484035565,9.236382152047514e-05,2958,1995,Alan Greenspan
0.023329612080458983,7.88884854147102e-05,0.5161563304151743,0.1459225824404217,7.889211158512824e-05,0.021617573594144734,0.29257947529599426,7.888276187714614e-05,7.888264909509407e-05,7.888016583416585e-05,2960,1995,Alan Greenspan
5.7319667868288395e-05,5.732148667331485e-05,5.7322660077168194e-05,5.7318115224009244e-05,0.06545740436009263,0.8333646743665716,5.732399745051225e-05,0.10077667105097292,5.732561045701318e-05,5.731868461254474e-05,2963,1995,Alan Greenspan
6.781399233940437e-05,0.06249568280143512,0.1866964077877452,6.780989466816373e-05,0.011527214319658651,0.3849935270779451,6.781205397569968e-05,0.31440528482216734,0.039610631485032154,6.781576503324244e-05,2964,1995,Alan Greenspan
0.00011458199159501937,0.00011457887226563877,0.7128399039730563,0.00011457480200550316,0.10546574208894684,0.06067812759569015,0.12032875908873553,0.00011457622348620697,0.00011457864129723119,0.0001145767229214879,2967,1995,Alan Greenspan
0.01607337187238328,0.13998310353128807,0.5075685145110861,5.267076689391395e-05,5.26731350845759e-05,0.14987388057326886,0.028673383121794724,0.12393638242387608,0.015239048695341938,0.01854697136898249,2968,1995,Alan Greenspan
7.295906557581655e-05,0.030777687908977842,0.03235963556625676,7.295805447403569e-05,0.15311356362311696,0.5886824062773547,7.295558898076678e-05,0.19470191313168828,7.2955305272398e-05,7.29654783025558e-05,2969,1995,Alan Greenspan
0.07599530797103565,9.646209511775681e-05,0.16390820035913778,9.645737391939163e-05,0.09063813743801298,0.07913395495783587,0.5526167688369078,9.646224774355588e-05,9.646089696961773e-05,0.03732178782331963,2970,1995,Alan Greenspan
0.29457980847953336,0.00013058885914826572,0.043201476011323556,0.00013057190248109767,0.4685410877390768,0.19289414273703537,0.00013058041209617106,0.0001305825348442875,0.00013058577189480077,0.0001305755525662769,2971,1995,Alan Greenspan
5.471725993677108e-05,5.471849966377223e-05,5.4718631074044543e-05,5.4714424436524065e-05,0.049779040686094914,0.8372510452511195,5.4717744893688444e-05,0.1114941234737976,5.4720102695148336e-05,0.001147483926287973,2972,1995,Alan Greenspan
0.0030978884804183965,0.10346915649022267,0.4727710882302072,5.389275769263281e-05,5.389290838557722e-05,0.1339551061764238,0.1461305244996878,0.11987688462125867,5.3895976092183444e-05,0.020537669859610964,2973,1995,Alan Greenspan
0.00011576529813353586,0.00011576400862722751,0.00011577669161033631,0.00011577712875824811,0.00011576369679764928,0.9672576290186669,0.03181620123856839,0.00011577181878426908,0.00011577776906726767,0.00011577333098610576,2975,1995,Alan Greenspan
8.185293126075098e-05,8.185246911251105e-05,8.185648458760866e-05,8.185555532346265e-05,8.185214697066889e-05,0.9010829249138986,0.08396794067339133,8.185231336672893e-05,0.014376159893489646,8.185261859853214e-05,2977,1995,Alan Greenspan
0.00018625995667477838,0.00018627493195816757,0.0001862678625884872,0.0001862738082238702,0.0001862726304306474,0.9551962773336594,0.04331357600219903,0.00018626589668107403,0.00018627145677885083,0.000186260120805734,2978,1995,Alan Greenspan
0.00017860769930743144,0.00017861327618529988,0.1991740397194004,0.29114795959897466,0.00017861373553489402,0.02903125533260639,0.4795750681390839,0.00017861536905723987,0.00017861209688407629,0.00017861503296568514,2979,1995,Alan Greenspan
0.19781424050834112,0.015468087679060999,0.7861970955040143,7.436799033705417e-05,7.436925825625969e-05,7.43728816294539e-05,7.436933265362128e-05,7.437034895510118e-05,7.436315860420246e-05,7.436333814795075e-05,2981,1995,Alan Greenspan
0.057131630702891824,0.00011077801099815118,0.35445884629365737,0.00011077423835651967,0.00011077312959171153,0.06560943958128296,0.456991371138623,0.00011076917165032287,0.024431342447573726,0.040934275285374466,2982,1995,Alan Greenspan
0.2184201094359817,0.2398466006563502,0.4749437832344324,7.612483158642779e-05,7.612323686018572e-05,0.0663327608842372,7.612313757350031e-05,7.61265167407178e-05,7.612164213462882e-05,7.612642410293506e-05,2983,1995,Alan Greenspan
