year,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
1995,0.0,0.044444444444444446,0.24444444444444444,0.0,0.1111111111111111,0.26666666666666666,0.2,0.08888888888888889,0.0,0.044444444444444446
1996,0.0,0.04,0.44,0.0,0.08,0.28,0.12,0.0,0.0,0.04
1997,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
1998,0.0,0.25,0.0,0.125,0.125,0.125,0.375,0.0,0.0,0.0
1999,0.0,0.5,0.0,0.07142857142857142,0.0,0.07142857142857142,0.35714285714285715,0.0,0.0,0.0
2000,0.0425531914893617,0.06382978723404255,0.40425531914893614,0.14893617021276595,0.10638297872340426,0.1702127659574468,0.0425531914893617,0.02127659574468085,0.0,0.0
2001,0.03571428571428571,0.0,0.4642857142857143,0.03571428571428571,0.07142857142857142,0.10714285714285714,0.21428571428571427,0.0,0.03571428571428571,0.03571428571428571
2002,0.024390243902439025,0.024390243902439025,0.34146341463414637,0.07317073170731707,0.04878048780487805,0.0975609756097561,0.3170731707317073,0.04878048780487805,0.0,0.024390243902439025
2003,0.0,0.025,0.325,0.15,0.125,0.125,0.175,0.0,0.0,0.075
2004,0.1016949152542373,0.0,0.3898305084745763,0.06779661016949153,0.05084745762711865,0.0847457627118644,0.2033898305084746,0.03389830508474576,0.0,0.06779661016949153
2005,0.037037037037037035,0.0,0.46296296296296297,0.05555555555555555,0.05555555555555555,0.12962962962962962,0.16666666666666666,0.018518518518518517,0.018518518518518517,0.05555555555555555
2006,0.13043478260869565,0.06521739130434782,0.21739130434782608,0.17391304347826086,0.13043478260869565,0.043478260869565216,0.06521739130434782,0.13043478260869565,0.0,0.043478260869565216
2007,0.14583333333333334,0.0,0.14583333333333334,0.10416666666666667,0.08333333333333333,0.10416666666666667,0.14583333333333334,0.08333333333333333,0.08333333333333333,0.10416666666666667
2008,0.06779661016949153,0.0,0.11864406779661017,0.0847457627118644,0.05084745762711865,0.01694915254237288,0.1864406779661017,0.15254237288135594,0.3050847457627119,0.01694915254237288
2009,0.04225352112676056,0.0,0.028169014084507043,0.0,0.16901408450704225,0.04225352112676056,0.09859154929577464,0.28169014084507044,0.30985915492957744,0.028169014084507043
2010,0.05333333333333334,0.013333333333333334,0.013333333333333334,0.05333333333333334,0.24,0.02666666666666667,0.13333333333333333,0.24,0.17333333333333334,0.05333333333333334
2011,0.08196721311475409,0.0,0.0,0.11475409836065574,0.09836065573770492,0.01639344262295082,0.2786885245901639,0.3114754098360656,0.08196721311475409,0.01639344262295082
2012,0.06493506493506493,0.012987012987012988,0.0,0.16883116883116883,0.09090909090909091,0.012987012987012988,0.22077922077922077,0.18181818181818182,0.14285714285714285,0.1038961038961039
2013,0.09574468085106383,0.010638297872340425,0.0425531914893617,0.32978723404255317,0.02127659574468085,0.06382978723404255,0.047872340425531915,0.18617021276595744,0.07446808510638298,0.1276595744680851
2014,0.11949685534591195,0.025157232704402517,0.031446540880503145,0.3270440251572327,0.06289308176100629,0.03773584905660377,0.012578616352201259,0.12578616352201258,0.0880503144654088,0.16981132075471697
2015,0.08333333333333333,0.020833333333333332,0.027777777777777776,0.3888888888888889,0.06944444444444445,0.006944444444444444,0.027777777777777776,0.14583333333333334,0.05555555555555555,0.1736111111111111
2016,0.10273972602739725,0.04794520547945205,0.0547945205479452,0.410958904109589,0.03424657534246575,0.0,0.03424657534246575,0.11643835616438356,0.0410958904109589,0.15753424657534246
2017,0.2222222222222222,0.06172839506172839,0.024691358024691357,0.2654320987654321,0.037037037037037035,0.006172839506172839,0.043209876543209874,0.06790123456790123,0.09259259259259259,0.17901234567901234
2018,0.11214953271028037,0.056074766355140186,0.009345794392523364,0.3364485981308411,0.09345794392523364,0.0,0.009345794392523364,0.17757009345794392,0.028037383177570093,0.17757009345794392
2019,0.11917098445595854,0.10880829015544041,0.0051813471502590676,0.31088082901554404,0.08290155440414508,0.0,0.010362694300518135,0.11917098445595854,0.031088082901554404,0.21243523316062177
2020,0.12578616352201258,0.13836477987421383,0.006289308176100629,0.20125786163522014,0.1069182389937107,0.0,0.018867924528301886,0.05660377358490566,0.1320754716981132,0.2138364779874214
2021,0.1728395061728395,0.12962962962962962,0.006172839506172839,0.38271604938271603,0.06790123456790123,0.0,0.012345679012345678,0.06790123456790123,0.06790123456790123,0.09259259259259259
2022,0.12213740458015267,0.13740458015267176,0.0,0.6030534351145038,0.061068702290076333,0.0,0.015267175572519083,0.030534351145038167,0.0,0.030534351145038167
2023,0.17647058823529413,0.09803921568627451,0.0196078431372549,0.35947712418300654,0.10457516339869281,0.0,0.006535947712418301,0.11764705882352941,0.0457516339869281,0.0718954248366013
2024,0.11607142857142858,0.08035714285714286,0.017857142857142856,0.36607142857142855,0.16071428571428573,0.008928571428571428,0.008928571428571428,0.13392857142857142,0.0625,0.044642857142857144
2025,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0
